CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
80-43-3,C(C)(C)(c1ccccc1)OOC(C)(C)c1ccccc1,Inactive,
81-81-2,C1(=O)c2c(cccc2)OC(=O)C1C(c1ccccc1)CC(C)=O,Inactive,
82-68-8,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1N(=O)=O,Inactive,
83-32-9,c12c3c(cccc3ccc1)CC2,Inactive,
83-41-0,c1(N(=O)=O)c(C)c(C)ccc1,Inactive,
83-67-0,C1(=O)C2=C(N(C)C(=O)N1)NC=N2C,Inactive,
84-66-2,C(=O)(c1c(C(=O)OCC)cccc1)OCC,Inactive,
84-69-5,C(=O)(c1c(C(=O)OCC(C)C)cccc1)OCC(C)C,Inactive,
84-74-2,C(=O)(c1c(C(=O)OCCCC)cccc1)OCCCC,Inactive,
84-75-3,C(=O)(c1c(C(=O)OCCCCCC)cccc1)OCCCCCC,Inactive,
85-01-8,c12c(c3c(cccc3)cc1)cccc2,Inactive,
85-68-7,C(=O)(c1c(C(=O)OCc2ccccc2)cccc1)OCCCC,Inactive,
86-30-6,c1(N(c2ccccc2)N=O)ccccc1,Inactive,
86-50-0,C1(=O)c2c(cccc2)N=NN1CSP(=S)(OC)OC,Active,
86-73-7,c12-c3c(cccc3)Cc1cccc2,Inactive,
87-61-6,c1(Cl)c(Cl)c(Cl)ccc1,Inactive,
87-62-7,c1(C)c(N)c(C)ccc1,Inactive,
87-69-4,C(=O)(O)C(O)C(O)C(=O)O,Inactive,
87-86-5,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1O,Active,
87-90-1,C1(=O)N(Cl)C(=O)N(Cl)C(=O)N1Cl,Active,
88-06-2,c1(Cl)c(O)c(Cl)cc(Cl)c1,Inactive,
88-12-0,C1(=O)CCCN1C=C,Inactive,
88-18-6,C(C)(C)(C)c1c(O)cccc1,Inactive,
88-58-4,C(C)(C)(C)c1c(O)cc(C(C)(C)C)c(O)c1,Active,
88-72-2,c1(N(=O)=O)c(C)cccc1,Inactive,
88-85-7,c1(N(=O)=O)c(O)c(C(C)CC)cc(N(=O)=O)c1,Inactive,
89-04-3,C(=O)(c1c(C(=O)OCCCCCCCC)cc(C(=O)OCCCCCCCC)cc1)OCCCCCCCC,Inactive,
89-72-5,c1(O)c(C(C)CC)cccc1,Inactive,
89-83-8,c1(O)c(C(C)C)ccc(C)c1,Inactive,
90-04-0,c1(OC)c(N)cccc1,Active,
90-12-0,c1(C)c2c(cccc2)ccc1,Inactive,
91-20-3,c12c(cccc1)cccc2,Inactive,
91-22-5,c12c(cccc1)cccn2,Inactive,
91-53-2,C1(C)c2c(ccc(OCC)c2)NC(C)(C)C=1,Active,
91-59-8,c12c(cc(N)cc1)cccc2,Active,
91-62-3,c12c(cc(C)cc1)cccn2,Inactive,
